afac_city,afac_country,airport_iata,match_method,city_spread_km
MC ALLEN,Estados Unidos,MFE,override_city,0.0
MEMPHIS,Estados Unidos,MEM,city_exact,0.0
MIAMI,Estados Unidos,MIA,city_exact,32.7
MIAMI,Estados Unidos,OPF,city_exact,32.7
MIAMI,Estados Unidos,TMB,city_exact,32.7
MILWAUKEE,Estados Unidos,MKE,city_exact,0.0
MINNEAPOLIS,Estados Unidos,MSP,city_exact,0.0
NASHVILLE,Estados Unidos,BNA,city_exact,0.0
NEWARK,Estados Unidos,EWR,city_exact,0.0
NORFOLK,Estados Unidos,NGU,city_exact,9.1
NORFOLK,Estados Unidos,ORF,city_exact,9.1
NUEVA ORLEANS,Estados Unidos,MSY,override_city,29.0
NUEVA ORLEANS,Estados Unidos,NBG,override_city,29.0
NUEVA ORLEANS,Estados Unidos,NEW,override_city,29.0
NUEVA YORK,Estados Unidos,JFK,override_city,17.2
NUEVA YORK,Estados Unidos,LGA,override_city,17.2
OAKLAND,Estados Unidos,OAK,city_exact,0.0
ONTARIO,Estados Unidos,ONT,city_exact,0.0
ORLANDO,Estados Unidos,ISM,city_exact,57.4
ORLANDO,Estados Unidos,MCO,city_exact,57.4
ORLANDO,Estados Unidos,ORL,city_exact,57.4
ORLANDO,Estados Unidos,SFB,city_exact,57.4
PHILADELPHIA,Estados Unidos,PHL,city_exact,30.6
PHILADELPHIA,Estados Unidos,PNE,city_exact,30.6
PHOENIX,Estados Unidos,PHX,city_exact,0.0
PITTSBURGH,Estados Unidos,AGC,city_exact,29.8
PITTSBURGH,Estados Unidos,PIT,city_exact,29.8
"PORTLAND, OREGON",Estados Unidos,PDX,override_airport,0.0
"Providence, Rhode Island",Estados Unidos,PVD,override_city,0.0
RALEIGH/DURHAM,Estados Unidos,RDU,city_exact,0.0
RENO,Estados Unidos,RNO,city_exact,0.0
SACRAMENTO,Estados Unidos,MCC,city_exact,29.9
SACRAMENTO,Estados Unidos,MHR,city_exact,29.9
SACRAMENTO,Estados Unidos,SAC,city_exact,29.9
SACRAMENTO,Estados Unidos,SMF,city_exact,29.9
SALT LAKE CITY,Estados Unidos,SLC,city_exact,0.0
SAN ANTONIO,Estados Unidos,SAT,city_exact,21.9
SAN ANTONIO,Estados Unidos,SKF,city_exact,21.9
SAN ANTONIO,Estados Unidos,SSF,city_exact,21.9
SAN DIEGO,Estados Unidos,NKX,city_exact,36.2
SAN DIEGO,Estados Unidos,NZY,city_exact,36.2
SAN DIEGO,Estados Unidos,SAN,city_exact,36.2
SAN DIEGO,Estados Unidos,SDM,city_exact,36.2
SAN FRANCISCO,Estados Unidos,SFO,city_exact,0.0
"SAN JOSE, CALIFORNIA",Estados Unidos,SJC,override_airport,0.0
"SANTA ANA, CALIFORNIA",Estados Unidos,SNA,override_airport,0.0
SEATTLE,Estados Unidos,BFI,city_exact,8.8
SEATTLE,Estados Unidos,SEA,city_exact,8.8
ST. LOUIS,Estados Unidos,STL,city_exact,26.3
ST. LOUIS,Estados Unidos,SUS,city_exact,26.3
TAMPA,Estados Unidos,MCF,city_exact,14.1
TAMPA,Estados Unidos,TPA,city_exact,14.1
